	Name	main_news	tagged_news
66	GOOGL	"Photos Take the Spotlight in Updates to Google’s Social Network: Google is using its expertise in algorithms to offer users better social sharing tools through its Google Plus network. The company’s software will now select the best photos and fix their flaws, offer more links to topics mentioned in posts by me..."	"Drones Take Off in Silicon Valley: Even before American skies are open to commercially operated drones, a drone start-up called Airware plans to announce Wednesday that it has raised $10.7 million in a financing round led by the venture capital firm Andreessen Horowitz."
67	GOOGL	"Google Escalates the Competition in Map Services: The new service creates real-time, personalized maps and incorporates 3-dimensional images from inside businesses and from Google Earth."	Faster Broadband Speeds: The View From the F.C.C.: The chairman of the Federal Communications Commission describes its efforts to promote broadband.
68	GOOGL	Lawmakers Show Concerns About Google’s New Glasses: Members of a Congressional caucus want Google to explain how it will protect privacy with the introduction of Google Glass.	
72	GOOGL	"Tax Protest in Britain Focuses on Google: A group of drama students is organizing a Google Free Day on Friday, highlighting what they say is the minimal share of its revenue that the search giant pays in taxes, as well as the increasing dependence on its service."	Dot Chat: From Energy Campaigners to Solar Finance Entrepreneurs: An online conversation with a young energy activist turned solar entrepreneur.
73	GOOGL	"Is Google Glass Dangerous?: Technology like Google Glass and Siri may be hands-free, but it still demands your attention."	"Yahoo’s Design Chief to Depart: Though the company’s Web page redesigns have received negative reviews, Tim Parsey, senior vice president of user experience design, said his work was done."
74	GOOGL	"Europe Warns Google It Could Face Further Concessions: Joaquín Almunia, the European Union competition commissioner, said that Google could still face formal charges for violating European competition law."	
75	GOOGL	"How to Help Google Plus Help Your Photos: In the long list of improvements rolled out during Google’s developer conference last week were many improvements to its photo editing and sharing tools. To get the most out of your photos on Google Plus, here is what you need to know."	
76	GOOGL	"Motorola Plans to Make Smartphone in Texas: The handset maker, owned by Google, says its next phone, called the Moto X, will be manufactured at an old Nokia plant near Fort Worth that will be reopened by August."	
77	GOOGL	"Big Question for Wearable Computing: Is It Ready for Consumers?: While Apple and Google agree that the future of computers will be wearable, they disagree about which kind of computers people will actually want to wear."	"Speak More Chinese, Ambassador Tells Thais: As China’s middle and upper classes grow, they are traveling abroad in fast-growing numbers and encountering other cultures, often for the first time. Comments by China’s ambassador to Thailand on the theme inspired some lively discussion of the i..."
78	GOOGL	"Google’s Washington Insider: Susan Molinari, a brassy, well-connected New York Republican who served seven years in the House, now works to broaden Google’s support beyond Silicon Valley Democrats."	
79	GOOGL	"A Feature Film, Starring Google: In “The Internship,” a comedy movie starring Vince Vaughn and Owen Wilson as Google interns, Google’s products and perks make cameo appearances and some lines sound as if they were written by the marketing department."	"Q&A: Backing Up Photos in the Cloud: Those photos taken with your smartphone could be gone forever if you lose the phone or it breaks, but you can back them up online without having to physically sync with a computer."
81	GOOGL	"Laurel and Hardy in Google’s Toyland: In “The Internship,” set in a mock-up of Google’s headquarters, Vince Vaughn and Owen Wilson play analog guys thrust into a digital world."	Tip of the Week: Blog More Efficiently on Tumblr: Sharing content on the blogging platform Tumblr is being made easier by a collection of Tumblr’s own tips and tricks as well as third-party browser add-ons.
82	GOOGL	"Vince Vaughn and Owen Wilson Arrive in Silicon Valley: When the stars of the comedy “The Internship” arrived at Google to shoot the movie, they were forced to adjust to some quirks of Silicon Valley culture."	"Daily Report: U.S. Confirms That It Gathers Online Data: The government has acknowledged collecting information from Internet companies about foreigners overseas in search of national security threats, Charlie Savage, Edward Wyatt and Peter Baker report in The New York Times."
83	GOOGL	"Google Close to Acquiring Waze, a Rival in Maps: The search giant, already a powerhouse in maps, is negotiating to buy the largely Israeli company for more than $1 billion, people familiar with the discussions say. Waze, which relies on GPS tracking and traffic reports from its users, would give..."	Aiming to Simplify the Landlord-Tenant Relationship: A new Web site helps create a cozier relationship between landlord and tenant.
84	GOOGL	"Google Expands Its Boundaries, Buying Waze for $1 Billion: After weeks of talks Google completed a deal to buy the Israeli social mapping start-up, which uses a combination of GPS tracking and contributions from its users about road conditions to help drivers navigate. Waze will remain a separate service ..."	3 Tech Giants Want to Reveal Data Requests: The technology companies asked the government for permission to reveal details about the classified requests they get for the personal information of foreign users.
85	GOOGL	"Daily Report: Google, Facebook and Microsoft Ask to Reveal U.S. Data Requests: The technology companies asked the government for permission to reveal details about the classified requests they get for the personal information of foreign users, Claire Cain Miller reports in The New York Times."	"Tip of the Week: Force Yourself to Stop Wasting Time: If you can’t help wandering onto your favorite time-wasting sites during the work day, you can get free or inexpensive software to keep you more focused."
88	GOOGL	"More Google Maps for Bikes: Google Maps has expanded its bike route directions to seven additional countries in Europe, including France, Germany, and Poland."	
89	GOOGL	Google Asks Secret Court for Permission to Publish National Security Request Data: Google escalated its pressure on the government to permit it to publish more detailed data about the requests it receives for the information of foreign users.	"More Data on Privacy, but Picture Is No Clearer: Apple joined the list of companies that have disclosed information about government surveillance, but many questions remain unanswered."
90	GOOGL	"Daily Report: Google Acquisition of Waze May Draw More U.S. Attention: Google may have pushed the boundaries of the law in its Waze deal, but the question is whether the government will push back, Steven M. Davidoff writes in The New York Times."	
91	GOOGL	"In Head-Hunting, Big Data May Not Be Such a Big Deal: Laszlo Bock, senior vice president of people operations at Google, says some data is essentially worthless in assessing job candidates: G.P.A.’s, for instance, and test scores."	Handicapping the Half-Life of ‘Big Data’: The technologies of Big Data are advancing across the economy. But what is the likely longevity of the term itself?
94	GOOGL	Fact Finder to European Court Backs Google in a Spanish Privacy Battle : An expert opinion requested by the Court of Justice said that a wish to eliminate embarrassing information is not sufficient reason to make Google remove public records from search results.	"Betaworks Unveils Its Highly Anticipated Digg RSS Reader: Betaworks, a technology incubator in New York, unveiled its latest product, a suite of sleek RSS readers for the Web and mobile devices."
95	GOOGL	"F.T.C. Tells Search Engines to Label Advertising as Such: The Federal Trade Commission told Google, Bing and Yahoo among others to clarify what sort of material is coming up in search results."	"There’s a Nice Jaguar Parked Across From the House That Appeared in ‘Mad Men’: Film crews often use real places as backdrops, and sometimes, real live people find the real live places, which have real live cars parked across the street."
98	GOOGL	Appeals Court’s Ruling Helps Google in Book-Scanning Lawsuit: The court says that a federal judge was too quick to allow authors to sue Google as a class.	"AltaVista. What’s That?: AltaVista, once the most advanced and comprehensive search engine on the Web, is about to close its URL forever."
102	GOOGL	"Q&A: Avoiding Mobile Malware: Google’s Android system, the dominant mobile operating system, tends to have more problems with malicious software. But common sense can help avert them."	
103	GOOGL	"Q&A: Setting Up Gmail Securely: Google’s two-step verification feature can help make your Gmail account more secure, but you may need to do a little extra work when setting up a new mail program to send and receive Gmail messages."	"Wheelies: The Connecticut Coverage Edition: Tesla Motors adds another Supercharger station to its East Coast network, and Fiat edges closer to owning Chrysler outright."
104	GOOGL	"A Better Google Maps App for Apple and Android Devices: New features include greater speed, better place and traffic information and offline maps."	"Q&A: Connecting Camera to Computer: Some digital cameras come with a lot of software, but depending on your computer and the photo programs you already use, you may not need to install any of it."
106	GOOGL	"Google Executives Discuss YouTube, the Phone Business and Taxes: Unlike the usual practice of staying mum at the annual Allen & Company media and technology conference in Idaho, Google executives used a news conference to promote their business."	
108	GOOGL	"Google Said to Weigh Supplying TV Channels: The company has begun talks with major media companies about licensing TV channels, according to people with knowledge of the meetings."	
109	GOOGL	"In European Antitrust Fight, Google Needs to Appease Competitors: The European Commission said that Google’s proposal for addressing antitrust concerns did not go far enough and that the company would need to come up with a better plan."	"The Pros and Cons of a Surveillance Society: As we prepare to enter a world of wearable, camera-equipped computers, do we want to live under a system that might ensure justice for all, yet privacy for none?"
110	GOOGL	"Google Results Show Struggle With Mobile: The second-quarter income announcement showed the desktop search business continued to slow, while ad prices fell."	
114	GOOGL	"Today’s Scuttlebot: Chromecast and Painting With Windows ’95: The New York Times’s staff scours the Web for important and peculiar items. Wednesday’s selections include Google’s new streaming device, Chromecast, and a 97-year-old man who uses an 18-year-old version of Windows to create art."	"If You Can’t Hide From Big Brother, Adapt: Democracies find light occasionally irksome, generally bracing and mostly healthy."
115	GOOGL	"Google Debuts an Updated Nexus 7 Tablet: The Nexus 7, Google’s less expensive rival to the iPad Mini, is lighter and faster than the original and was introduced a day after Apple reported declining iPad sales."	
117	GOOGL	"Verifying Gmail on the Road: If you do not have access to your cellphone for Gmail’s verification process, there is an option to print out a set of codes."	
118	GOOGL	"Apps That Know What You Want, Before You Do: Technology companies are rushing into predictive search, developing apps like Google Now that process digital clues to anticipate what users want to know."	
119	GOOGL	"Chromecast, Simply and Cheaply, Flings Web Video to TVs: Using Wi-Fi, the Google Chromecast makes Internet material watchable on a television for $35. Repeat, $35."	
120	GOOGL	"With Moto X, Google Enters a Crowded Marketplace: The search giant, which has stumbled in its forays into the hardware market, says its high-end Moto X smartphone has innovative voice controls."	
121	GOOGL	"Daily Report: A Google-Built Smartphone Enters a Crowded Field: After lackluster results selling devices made by other companies, Google is giving hardware another try — this time with a smartphone made by a company it owns."	
123	GOOGL	"The Moto X From Google, iPhone’s Latest Challenger: Google’s own Android phone offers five features that no phone has offered before, including a touchless mode."	
126	GOOGL	Dr. Google Will See You Now: What do our Google searches tell us about depression?	
127	GOOGL	"Ways to Watch Live TV on a Laptop or Tablet: Also, how to spot phony text messages warning of a compromised Gmail account."	
130	GOOGL	Why a Twitter I.P.O. Should Go Dutch: The modified Dutch auction that was used by Google founders Larry Page and Sergey Brin in its initial public offering successfully mitigated some of the hype Facebook couldn’t.	
131	GOOGL	"Trying to Make Google Glass Fashionable: Google Glass is being featured in a 12-page spread in Vogue’s September fashion issue. But that might not change the reality: while people who own Google Glass love the glasses for their technological prowess, they feel incredibly self-conscious w..."	
133	GOOGL	"David J. Galullo: Mr. Galullo is the chief executive of Rapt Studios, a company based in San Francisco that designs corporate interiors for clients like Adobe, Google and the North Face."	
134	GOOGL	The Voice-Off: Android vs. Siri: Is speech recognition better on smartphones running Google’s operating system or Apple’s? That depends on how it’s used.	Facebook Leads an Effort to Lower Barriers to Internet Access: The social media giant is set to unveil a coalition of tech companies working to improve data transmission in the developing world.
135	GOOGL	"Yahoo Surpasses Google in Web Traffic, Somehow: For the first time since 2011, Yahoo had more unique visitors in a month than any other Web property, but why that happened remains unclear."	
136	GOOGL	Women at Google Looking Past the Glass Ceiling: Pioneering women behind Google Glass are trying to bridge the gap between the worlds of high fashion and high tech.	
139	GOOGL	"U.S. Government Issues Warning About Security on Android Phones: Google’s Android is the most widely used mobile software system in the world, and as a result it is becoming an increasingly big target for makers of malicious software, similar to Microsoft’s Windows. The American government has issued a warning ..."	"In Advent of the Smartwatch, a Name That’s Been There Before: The digital watch market, long dominated by Casio’s G-Shock line, is undergoing a transformation with a wave of innovative, multifunction gadgets."
140	GOOGL	"Chinese Smartphone Maker Hires Google Executive: Xiaomi, which outsells Apple smartphones in China, hired Hugo Barra from Google, where he was vice president for the Android mobile operating system."	
142	GOOGL	"Microsoft-Nokia Could Woo Buyers Trading Up to Smartphones: Microsoft could help Nokia keep customers who are transitioning from lower-end feature phones, rather than let them escape to an Apple iPhone or Google Android ecosystem."	Thorny Side Effects in Silicon Valley Tactic to Keep Control: Adopting a dual-class stock structure may be bad not only for technology companies but also for their founders.
145	GOOGL	"Google Introduces New Desktop Apps: Google’s new type of app gives it a path onto its competitors’ operating systems, an acknowledgment that people are not yet ready to live entirely online."	
146	GOOGL	"Tech Companies Escalate Pressure on Government to Publish National Security Request Data: On Monday, Yahoo and Facebook filed suit in a secret court to ask for permission to publish data on the national security requests they receive, and Google and Microsoft amended the suits they had already filed."	"The Cloud Era Begins for Enterprise Tech: This was the summer that old enterprise computing started to go away, and new players are already emerging to be corporations’ most trusted partners, using a variety of strategies."
147	GOOGL	Opinion in Google Street View Privacy Case: A federal appeals court rejected Google’s bid to dismiss a lawsuit accusing it of violating a federal wiretap law when it collected data for its Street View program.	"Apple Is Challenged to Innovate Its Flagship: Nick Bilton, technology columnist for The New York Times, examined some of the implications of the updates and changes coming to the iPhone line."
148	GOOGL	"Daily Report: Privacy Suit Against Google Will Continue: In a major legal setback for Google, a federal appeals court said on Tuesday that a lawsuit accusing the Internet giant of illegal wiretapping could proceed."	"Intel’s Extensive Makeover: In a low-key way, the world’s largest maker of semiconductors just bid goodbye to the world of PCs and servers, and made a real bid for the cloud. In an exclusive interview, Intel’s president talks about Intel’s cultural transformation, which incl..."
151	GOOGL	"Exporting an iPhoto Library to Aperture: How to move photos from iPhoto to Aperture, and how to update a Google Calendar invitation."	"Box Adds Document Writing to Its Cloud: Box, the online storage service, has announced it is getting into the content-creation business. The first product is a stripped-down, word-processing program. If you miss the bells and whistles of Microsoft Word, you may also be missing the new a..."
152	GOOGL	"Google Buys Bump, Maker of Apps for Sharing Photos and Files: Bump, which struggled to find its footing, provides Google with mobile and photo-sharing expertise."	
153	GOOGL	"Tech Titans Form Biotechnology Company: Calico, a new start-up focusing on aging and illness, is run by Arthur D. Levinson, the former chief executive of Genentech, and financed by Google."	
159	GOOGL	"Google Alters Search to Handle More Complex Queries: Google made one of the biggest-ever changes in its search engine, as part of a shift away from matching keywords on Web pages to understanding the meaning of search queries."	
162	GOOGL	"Facebook Now Allows Users to Search Timelines: Facebook said people can now search “status updates, photo captions, check-ins and comments” from both their own timelines and those of their friends, as the company continues to target Google and other search outlets."	
163	GOOGL	Claims That Google Violates Gmail User Privacy: A federal judge last week refused to dismiss most of a lawsuit against Google over accusations that it improperly scanned the contents of e-mails in order to target ads.	
170	GOOGL	"Google to Sell Users’ Endorsements: A change in its terms of service would let Google include users’ names, photos and comments in ads across the Web."	
171	GOOGL	"How to Opt Out of Google’s Plan to Use Your Name and Comments in Ads: Google said it made it easy for users to opt out of its new plan for using their personal information in social ads, but some readers found the opt-out process to be confusing."	
172	GOOGL	"Tech Rivals Lay Down Arms for Youth Coding: Amazon, Microsoft, Apple and Google are encouraging schools, parents and teachers to introduce students to programming during Computer Science Education Week, which runs Dec. 9 to 15."	
174	GOOGL	"Google Tops Estimates, but Prices of Ads Slide: Google impressed investors, but people’s changing behavior on mobile phones and even on desktops threatens the company’s main business."	"In China’s Campaign Against Bloggers, a Burst of Rumor-Mongering: The author of a piece that maligned a popular Chinese microblogger is himself now coming under attack for his online activities."
175	GOOGL	"Google Stock Tops $1,000, Highlighting a Tech Divide: The shares closed up by a record 14 percent in another reminder that a handful of companies have taken control of the technology industry."	
176	GOOGL	"Rules Shielding Online Data From N.S.A. and Other Prying Eyes Advance in Europe: The regulations, if approved, could require American companies like Google and Yahoo to seek clearance before complying with United States warrants seeking private data."	"Sorting Out the New Yahoo Mail: Users have reported problems with Yahoo’s new e-mail format, but it should still be possible to sort contacts by first name."
179	GOOGL	"In a Major Departure, Google Shows Banner Ads in Search Results: As Google’s search advertising business faces new challenges, it is experimenting with banner ads in search results, despite past promises to users that it would never show such ads."	
180	GOOGL	Editing Microsoft Word Files on an Android Tablet: Google Play has several apps for working with Microsoft Word files on Android tablets.	LinkedIn’s New Mobile App Called ‘a Dream for Attackers’: LinkedIn’s new mobile app has been panned by security researchers who fear it could be a tool for hackers or government snoops.
181	GOOGL	E.U. Weighs Google’s Offer to Highlight Its Rivals’ Services: Competitors are unhappy with the search giant’s latest submission to resolve a long-running antitrust case with the European authorities.	
182	GOOGL	"Business Owners Weigh Their (Often Frustrating) Software Options: While Google offers some solutions, one owner said, she sees drawbacks: “Google keeps changing things and their privacy stuff really concerns me.”"	
183	GOOGL	"Google Plus Aims to Become a Photo Storage and Editing Hub: Google is trying to compete with companies like Apple, Facebook and Dropbox by turning Google Plus into a service for photographers both casual and professional."	
184	GOOGL	"Google Announces New Phone and Updates Operating System: In an announcement at the company’s San Francisco headquarters Thursday, Google showed off an updated version of its latest mobile operating system, and a new larger smartphone called the Nexus 5."	
185	GOOGL	"Pushing Their Buttons: A journalist goes behind the bitter rivalry between Apple and Google, and how it’s reshaping the way we think about technology."	"Angry Over U.S. Surveillance, Tech Giants Bolster Defenses: What began as a public relations predicament for American technology companies has evolved into a moral crisis that threatens the foundation of their businesses."
187	GOOGL	"Helpouts From Google Connects People With Experts Over Live Video: Acknowledging that its search engine cannot answer everybody’s questions, particularly in the age of social networking, Google introduced Helpouts, for live, one-on-one video chats with experts."	"Turning On iTunes Menus: Windows 8 makes the iTunes menu bar optional, but a user can easily call it up."
188	GOOGL	Google Is Ordered to Block Images in Privacy Case: The Internet company said it would appeal a French court’s ruling that it strip from its search results nine images of the former European racing chief Max Mosley.	Protecting Data Privacy: The Electronic Privacy Information Center is concerned about the security of cloud computing.
189	GOOGL	Details Emerge of Potential Google Monitor in Europe: The outlines of the job offer a window into what Google faces if it agrees to the latest settlement offer from the European Commission in the long-running antitrust case against the company.	
192	GOOGL	"Google Glass Will Expand Its Features Into Music: Glass can now be used to search for songs, scan through saved playlists and listen to music in high fidelity."	
193	GOOGL	"Motorola to Offer Moto G Smartphone Aimed at Emerging Markets: The company, now owned by Google, will begin selling a $180 smartphone called the Moto G in markets like Brazil, Chile and Peru, where the appeal of a low-cost device should be high."	
194	GOOGL	"Google Employees Speak Out About Government Spying: The Google lawyer who oversees national security requests testified before Congress Wednesday, while in an unofficial capacity, Google security engineers lambasted the government for surveillance."	"Getting Up to Speed With an Apple TV, and Ditching Android Widgets: For its latest set-top box, Apple recommends an Internet connection of at least 2.5 megabits per second. Plus, how to shed the “Recommended for You” notification on Android."
195	GOOGL	Daily Report: Google’s Scanning of Books for Search Upheld by Court: A judge dismissed a lawsuit by the Authors Guild that claimed making books searchable was a violation of copyright laws.	
197	GOOGL	Google to Pay $17 Million to Settle Privacy Case: The case involved Google’s bypassing of privacy settings in Apple’s Safari browser to use cookies to track users and show them ads.	Update for a Global Medical App: HTH Worldwide’s mPassport application has been updated to include more translations of drug names and medical terms.
202	GOOGL	Daily Report: N.S.A. May Have Tapped Internet Cable Links: The National Security Agency may have been able to eavesdrop on Google and Yahoo users by infiltrating a weak spot in the Internet giants’ security: the fiber-optic cables that connect data centers around the world.	Printing From an Android Tablet: There are several options to help you print documents from your Nexus tablet. And making the web appear bigger in your browser is a breeze.
206	GOOGL	"Daily Report: Google Enters Fray of Corporate Cloud Services: The company, after years of evasive answers about its plans for the cloud, will announce rates and features for a wide-ranging computing offering for businesses."	
207	GOOGL	Times Minute: Dec. 04 at 6 a.m.: Google gets robots; an unlikely Arab singer; and the world's smelliest fruit.	
208	GOOGL	"Homejoy Raises $38 Million in New Round: Homejoy, a year-old start-up that connects customers with pre-screened cleaners, said on Thursday that it had raised new capital from investors that included Google Ventures, Redpoint Ventures and the entrepreneur Max Levchin."	"Daily Report: Internet Giants Push to Improve Secrecy: After surveillance by the National Security Agency, major Internet companies like Microsoft and Yahoo are competing to show users how well their data is protected from prying eyes."
210	GOOGL	"Tech Giants Issue Call for Limits on Government Surveillance of Users: Eight major companies, led by Google and Microsoft, are calling for tighter controls on surveillance of their customers’ data by governments worldwide."	
212	GOOGL	"Google’s Road Map to Global Domination: In the battle for digital dominance, victory depends on being the first to map every last place on the globe. It’s as hard as it sounds."	
